TIP_ID,REPORT_DATE,REPORTER_TYPE,CASE_TYPE_ALLEGED,SUBJECT_DESCRIPTION,REGION,STATUS,LINKED_CASE_ID,URGENCY
TIP-2024-20173,2023-08-02,Anonymous,Pharmacy_Fraud,Unusual pattern of patients traveling long distances to use this specific pharmacy for controlled substances,Central MN,Assigned_to_Case,SIU-2024-10297,Immediate
TIP-2024-20174,2023-07-27,Provider,Provider_FWA,Clinic billing separately for procedures that should be bundled under single CPT code,Central MN,New,,Low
TIP-2024-20175,2025-10-18,Employee,Member_FWA,Member filing claims for services allegedly received while out of state for extended period,Twin Cities Metro,Assigned_to_Case,SIU-2024-10287,Immediate
TIP-2024-20176,2024-09-18,Employee,Member_FWA,Member filing claims for services allegedly received while out of state for extended period,Twin Cities Metro,Assigned_to_Case,SIU-2024-10006,Standard
TIP-2024-20177,2024-05-02,External_Agency,Network_Abuse,Clinic referring all specialty cases to single out-of-network provider group,Twin Cities Metro,Assigned_to_Case,SIU-2024-10014,Standard
TIP-2024-20178,2023-10-08,External_Agency,Provider_FWA,Clinic billing separately for procedures that should be bundled under single CPT code,Twin Cities Metro,Assigned_to_Case,SIU-2024-10100,Low
TIP-2024-20179,2025-08-25,Anonymous,Provider_FWA,Provider billing for imaging services without proper referral documentation,Southeast MN,Assigned_to_Case,SIU-2024-10096,Standard
TIP-2024-20180,2025-11-23,External_Agency,Provider_FWA,Multiple claims from same provider for identical procedures on same patient same day,Southeast MN,Assigned_to_Case,SIU-2024-10184,Standard
TIP-2024-20181,2023-06-09,External_Agency,Pharmacy_Fraud,Pharmacy appears to be dispensing medications without valid prescriptions on file,Southeast MN,Assigned_to_Case,SIU-2024-10150,Standard
TIP-2024-20182,2024-08-06,Provider,Member_FWA,Member appears to be receiving the same physical therapy services from 3 different providers simultaneously,Twin Cities Metro,Assigned_to_Case,SIU-2024-10287,Low
TIP-2024-20183,2023-12-11,Employee,Provider_FWA,Provider consistently billing for services on dates when the clinic was closed,Southwest MN,Under_Review,,Immediate
TIP-2024-20184,2024-05-09,External_Agency,Pharmacy_Fraud,Unusual pattern of patients traveling long distances to use this specific pharmacy for controlled substances,Southeast MN,Under_Review,,Standard
TIP-2024-20185,2023-06-04,Member,Provider_FWA,Physician billing for extended office visits averaging 45 minutes when peers average 15 minutes,Twin Cities Metro,Assigned_to_Case,SIU-2024-10022,Standard
TIP-2024-20186,2025-09-12,Provider,Pharmacy_Fraud,Unusual pattern of patients traveling long distances to use this specific pharmacy for controlled substances,Southwest MN,Under_Review,,Standard
TIP-2024-20187,2024-06-06,Anonymous,Pharmacy_Fraud,Pharmacy billing for brand name medications but dispensing generics to patients,Twin Cities Metro,Under_Review,,Low
TIP-2024-20188,2025-03-08,External_Agency,Provider_FWA,Provider appears to be billing 99215 office visits for routine checkups that should be coded as 99213,Southeast MN,New,,Standard
TIP-2024-20189,2023-11-26,Member,Network_Abuse,Physician consistently referring patients to own imaging center despite closer in-network options,Twin Cities Metro,New,,Standard
TIP-2024-20190,2023-11-28,Provider,Network_Abuse,Pattern of referrals between two providers suggests potential kickback arrangement,Twin Cities Metro,Assigned_to_Case,SIU-2024-10092,Standard
TIP-2024-20191,2025-11-23,Anonymous,Network_Abuse,Provider appears to be routing patients to out-of-network lab facility owned by family member,Northeast MN,New,,Standard
TIP-2024-20192,2025-04-07,Member,Provider_FWA,Provider consistently billing for services on dates when the clinic was closed,Twin Cities Metro,Under_Review,,Low
TIP-2024-20193,2023-10-26,Member,Network_Abuse,Clinic referring all specialty cases to single out-of-network provider group,Northeast MN,Dismissed,,Immediate
TIP-2024-20194,2025-03-13,Member,Pharmacy_Fraud,Store filling early refills on schedule II controlled substances beyond allowable limits,Southeast MN,Assigned_to_Case,SIU-2024-10163,Standard
TIP-2024-20195,2023-10-31,Provider,Network_Abuse,Clinic referring all specialty cases to single out-of-network provider group,Southeast MN,Dismissed,,Standard
TIP-2024-20196,2025-11-24,Employee,Provider_FWA,Multiple claims from same provider for identical procedures on same patient same day,Northeast MN,Dismissed,,Low
TIP-2024-20197,2023-11-19,External_Agency,Provider_FWA,Clinic billing separately for procedures that should be bundled under single CPT code,Central MN,Dismissed,,Standard
TIP-2024-20198,2024-06-17,External_Agency,Provider_FWA,Provider submitting claims for high-complexity procedures on simple diagnosis codes,Twin Cities Metro,Assigned_to_Case,SIU-2024-10092,Standard
TIP-2024-20199,2023-12-30,Member,Pharmacy_Fraud,Unusual pattern of patients traveling long distances to use this specific pharmacy for controlled substances,Southeast MN,Assigned_to_Case,SIU-2024-10299,Standard
TIP-2024-20200,2025-11-27,Employee,Network_Abuse,Provider steering Medica patients to specific DME supplier with unusually high prices,Northeast MN,Under_Review,,Standard
